lena.png
1,-.046211
2,-.039271
3,-.047448
4,-.051718
5,-.053878
6,-.054935
7,-.054937
8,-.052936
9,-.052065
10,-.049864
11,-.047221
12,-.045252
13,-.043033
14,-.038351
15,-.034513
16,-.031699
17,-.025701
18,-.021992
19,-.017575
20,-.012389
21,-.007685
22,-.003167
23,.001963
24,.006308
25,.010584
26,.016545
27,.021425
28,.026601
29,.032045
30,.037521
31,.043398
32,.049077
33,.053814
34,.059429
35,.065207
36,.069888
37,.075935
38,.080662
39,.086772
40,.092979
41,.097962
42,.104018
43,.109410
44,.114811
45,.120670
46,.125331
47,.131200
48,.137995
49,.143085
50,.149750
51,.156621
52,.160558
53,.166234
54,.172595
55,.177752
56,.182689
57,.189405
58,.194836
59,.200760
60,.206425
61,.212243
62,.218161
63,.223890
64,.229822
65,.234757
66,.240416
67,.245565
68,.250230
69,.256424
70,.260612
71,.266092
72,.271897
73,.277348
74,.281491
75,.288043
76,.293134
77,.296281
78,.301198
79,.305966
80,.311395
81,.314947
82,.319984
83,.323788
84,.328552
85,.332543
86,.335835
87,.339798
88,.342574
89,.346036
90,.317914
91,.316686
92,.315918
93,.309490
94,.300190
95,.286430
96,.260016
97,.219346
98,.157048
99,.066452
100,-.000045
